ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile,Time period,regiao,id_desenvolvimento_regiao,HDI Rank,idh_2019,pib_per_capita_2019,Faixa Total
GNB,Guinea-Bissau,SSA,WCA,Least Developed,23.0,26.0,20.0,27.0,18.0,28.0,26.0,27.0,20.0,16.0,2019.0,Sub-Saharan Africa,1,175,0.47999998927116394,650.069382434149,Entre 20 e 30%
HTI,Haiti,LAC,LAC,Least Developed,6.0,5.0,7.0,8.0,3.0,14.0,7.0,3.0,3.0,3.0,2017.0,Latin America and Caribbean,1,170,0.5099999904632568,1371.94238789242,Até 10%
HND,Honduras,LAC,LAC,Less Developed,26.0,22.0,30.0,35.0,15.0,37.0,29.0,23.0,13.0,16.0,2018.0,Latin America and Caribbean,2,132,0.6340000033378601,2499.49282332241,Entre 20 e 30%
IND,India,SA,SA,Less Developed,7.0,8.0,7.0,8.0,6.0,15.0,7.0,5.0,3.0,1.0,2016.0,South Asia,2,131,0.6449999809265137,1972.75782082313,Até 10%
IDN,Indonesia,EAP,EAP,Less Developed,7.0,6.0,8.0,9.0,5.0,11.0,8.0,6.0,5.0,3.0,2018.0,East Asia and Pacific,2,107,0.7179999947547913,3877.38297656325,Até 10%
IRQ,Iraq,MENA,MENA,Less Developed,21.0,28.0,15.0,30.0,17.0,36.0,24.0,19.0,13.0,11.0,2018.0,Middle East and North Africa,2,123,0.6740000247955322,4893.52473650407,Entre 20 e 30%
JOR,Jordan,MENA,MENA,Less Developed,5.0,5.0,6.0,5.0,5.0,13.0,6.0,3.0,2.0,2.0,2018.0,Middle East and North Africa,2,102,0.7289999723434448,4133.54980467597,Até 10%
KIR,Kiribati,EAP,EAP,Least Developed,10.0,5.0,15.0,11.0,9.0,16.0,11.0,11.0,9.0,3.0,2019.0,East Asia and Pacific,1,134,0.6299999952316284,1614.52822422683,Até 10%
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2018.0,Europe and Central Asia,2,120,0.6970000267028809,1226.82446368562,Até 10%
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,20.0,22.0,18.0,22.0,15.0,32.0,20.0,18.0,12.0,13.0,2017.0,East Asia and Pacific,1,137,0.6129999756813049,2572.82824605956,Entre 10 e 20%
LSO,Lesotho,SSA,ESA,Least Developed,14.0,9.0,19.0,18.0,7.0,23.0,20.0,13.0,6.0,5.0,2018.0,Sub-Saharan Africa,1,165,0.5270000100135803,1096.21696892375,Entre 10 e 20%
MDG,Madagascar,SSA,ESA,Least Developed,36.0,33.0,38.0,40.0,21.0,61.0,47.0,32.0,24.0,12.0,2018.0,Sub-Saharan Africa,1,164,0.527999997138977,488.913856720504,Entre 30 e 40%
MWI,Malawi,SSA,ESA,Least Developed,8.0,8.0,8.0,8.0,5.0,14.0,9.0,8.0,6.0,4.0,2016.0,Sub-Saharan Africa,1,174,0.4830000102519989,402.543108697447,Até 10%
MDV,Maldives,SA,SA,Less Developed,4.0,4.0,4.0,6.0,0.0,6.0,6.0,4.0,2.0,0.0,2017.0,South Asia,2,95,0.7400000095367432,10207.4909157276,Até 10%
MEX,Mexico,LAC,LAC,Less Developed,6.0,5.0,7.0,9.0,5.0,14.0,7.0,4.0,3.0,3.0,2018.0,Latin America and Caribbean,2,74,0.7789999842643738,9832.45747500622,Até 10%
MNG,Mongolia,EAP,EAP,Less Developed,4.0,3.0,5.0,4.0,4.0,6.0,3.0,5.0,3.0,5.0,2018.0,East Asia and Pacific,2,99,0.7369999885559082,4378.52787164517,Até 10%
MNE,Montenegro,ECA,EECA,More Developed,1.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2018.0,Europe and Central Asia,3,48,0.8289999961853027,7684.1514680476,Até 10%
MMR,Myanmar,EAP,EAP,Least Developed,17.0,17.0,16.0,19.0,10.0,30.0,18.0,15.0,9.0,6.0,2016.0,East Asia and Pacific,1,147,0.5830000042915344,1362.72543858048,Entre 10 e 20%
NPL,Nepal,SA,SA,Least Developed,4.0,4.0,4.0,5.0,4.0,6.0,7.0,4.0,2.0,1.0,2019.0,South Asia,1,142,0.6019999980926514,1069.78909780076,Até 10%
NGA,Nigeria,SSA,WCA,Less Developed,27.0,29.0,25.0,39.0,11.0,68.0,34.0,17.0,7.0,5.0,2018.0,Sub-Saharan Africa,2,161,0.5389999747276306,2502.652281009,Entre 20 e 30%
MKD,North Macedonia,ECA,EECA,More Developed,2.0,2.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,2019.0,Europe and Central Asia,3,82,0.7739999890327454,5334.23666266004,Até 10%
PAK,Pakistan,SA,SA,Less Developed,27.0,32.0,22.0,31.0,18.0,55.0,31.0,19.0,15.0,7.0,2018.0,South Asia,2,154,0.5569999814033508,1487.35722186437,Entre 20 e 30%
PRY,Paraguay,LAC,LAC,Less Developed,8.0,7.0,9.0,11.0,5.0,13.0,7.0,6.0,3.0,3.0,2017.0,Latin America and Caribbean,2,103,0.7279999852180481,5774.16616003464,Até 10%
PHL,Philippines,EAP,EAP,Less Developed,4.0,3.0,5.0,4.0,4.0,9.0,5.0,2.0,2.0,2.0,2017.0,East Asia and Pacific,2,107,0.7179999947547913,3664.79066969794,Até 10%
ROU,Romania,ECA,EECA,More Developed,10.0,10.0,10.0,1.0,1.0,3.0,1.0,1.5,0.5,0.0,2016.0,Europe and Central Asia,3,49,0.828000009059906,11215.1588557962,Até 10%
SEN,Senegal,SSA,WCA,Least Developed,39.0,36.0,42.0,50.0,25.0,57.0,47.0,39.0,34.0,17.0,2019.0,Sub-Saharan Africa,1,168,0.5120000243186951,1381.60179276297,Entre 30 e 40%
SLE,Sierra Leone,SSA,WCA,Least Developed,19.0,18.0,20.0,29.0,8.0,39.0,29.0,17.0,10.0,7.0,2017.0,Sub-Saharan Africa,1,182,0.4519999921321869,651.897739975485,Entre 10 e 20%
ZAF,South Africa,SSA,ESA,Less Developed,5.0,4.0,6.0,5.0,6.0,9.0,6.0,3.0,4.0,2.0,2016.0,Sub-Saharan Africa,2,114,0.7089999914169312,5574.64388994402,Até 10%
LKA,Sri Lanka,SA,SA,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2016.0,South Asia,2,72,0.7820000052452087,4225.10630347397,Até 10%
SUR,Suriname,LAC,LAC,Less Developed,7.0,6.0,8.0,11.0,5.0,14.0,7.0,4.0,2.0,3.0,2018.0,Latin America and Caribbean,2,97,0.7379999756813049,9035.19701402727,Até 10%
TJK,Tajikistan,ECA,EECA,Less Developed,3.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2017.0,Europe and Central Asia,2,125,0.6679999828338623,1174.0917163624,Até 10%
THA,Thailand,EAP,EAP,Less Developed,3.0,2.0,5.0,4.0,3.0,7.0,3.0,5.0,1.0,1.0,2019.0,East Asia and Pacific,2,79,0.7770000100135803,6617.54282167643,Até 10%
TLS,Timor-Leste,EAP,EAP,Least Developed,9.0,8.0,10.0,10.0,5.0,16.0,11.0,8.0,5.0,3.0,2016.0,East Asia and Pacific,1,141,0.6060000061988831,1435.72807129864,Até 10%
TGO,Togo,SSA,WCA,Least Developed,12.0,14.0,10.0,14.0,10.0,20.0,14.0,9.0,7.0,10.0,2017.0,Sub-Saharan Africa,1,167,0.5149999856948853,630.790509578349,Entre 10 e 20%
TON,Tonga,EAP,EAP,Less Developed,11.0,8.0,14.0,12.0,8.0,18.0,15.0,10.0,5.0,5.0,2019.0,East Asia and Pacific,2,104,0.7250000238418579,4652.5885871245,Entre 10 e 20%
TUN,Tunisia,MENA,MENA,Less Developed,7.0,7.0,7.0,12.0,5.0,14.0,9.0,5.0,4.0,3.0,2018.0,Middle East and North Africa,2,95,0.7400000095367432,3951.7990390621,Até 10%
TKM,Turkmenistan,ECA,EECA,Less Developed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016.0,Europe and Central Asia,2,111,0.7149999737739563,7692.57870654236,Até 10%
UGA,Uganda,SSA,ESA,Least Developed,23.0,23.0,22.0,23.0,24.0,29.0,22.0,21.0,19.0,25.0,2016.0,Sub-Saharan Africa,1,159,0.5440000295639038,898.407514758333,Entre 20 e 30%
ZMB,Zambia,SSA,ESA,Least Developed,23.0,27.0,20.0,29.0,14.0,42.0,32.0,23.0,17.0,9.0,2018.0,Sub-Saharan Africa,1,146,0.5839999914169312,1348.74321969318,Entre 20 e 30%
ZWE,Zimbabwe,SSA,ESA,Less Developed,19.0,16.0,22.0,22.0,9.0,28.0,24.0,16.0,14.0,5.0,2019.0,Sub-Saharan Africa,2,150,0.5709999799728394,1367.67691490163,Entre 10 e 20%
